insecticide,pests
"3% Carbofuran, 5% Disulfoton,10% Phorate granule",Shoot fly
"apply 4% Endosulfan, carbaryl granules, spray 0.05% Lindane",Stem borers
"0.05% Endosulfan, 01% Carbaryl, 0.05% Lindane sprays or dusts",Sorghum midge
"0.02% Phosphamidon, 0.04% Diazinon Methyl-demeton , Dimethoate",Aphids
"dust hoppers and adults with 5 and 10% BHC, respectively.",Deccan wingless grass hopper
"5% BHC or 4% Carbaryl,0.1% Carbaryl",Earhead bug
"0.03% Phosphamidon Dimethoate Diazinon, Monocrotophon, Methyl demeton",Sorghum shoot bug
10% BHC,Cut worm
10% BHC,Hairy caterpillars
"5% BHC or 4% Carbaryl,spray 0.1% Carbaryl",Earhead cater-pillars
"Dust sulphur, spray 0.05% wettable sulphur",Mites
